wind,solar,hydro,other_renewables_including_bioenergy,year,region
17.00000014156103,8.329999927431345,139.4600005801767,9.890000130981207,2020,Africa
14.360000152140856,6.990000182762742,23.269999589771032,5.630000131204724,2021,Africa
0.03199999942444265,0.004000000189989805,556.7699948726222,19.06600002013147,1990,Asia
0.12199999764561653,0.004000000189989805,563.9519972768612,19.473999930545688,1991,Asia
0.21899999678134918,0.014999999897554517,572.3589940140955,19.738000163808465,1992,Asia
0.3089999963995069,0.02800000016577542,622.5620007934049,19.523999851197004,1993,Asia
0.5770000030752271,0.03599999914877117,617.8009918234311,23.108999710530043,1994,Asia
1.1129999886034057,0.04999999946448952,661.7860045298003,27.74500034749508,1995,Asia
0.974000017857179,0.07200000109151006,635.9210053840652,28.180999998003244,1996,Asia
1.1879999747034162,0.11600000085309148,641.9710014155135,31.65099949762225,1997,Asia
1.4440000026952475,0.16700000734999776,675.3359983982518,33.76399990916252,1998,Asia
2.020999985281378,0.2459999956190586,658.544006776996,37.027999341487885,1999,Asia
2.3700000140815973,0.38999999314546585,730.3700024429709,61.634998796507716,2000,Asia
3.179999940097332,0.5299999974668026,787.5899939388037,62.657998917624354,2001,Asia
3.469999883323908,0.7500000167638063,795.2300126310438,64.46899877302349,2002,Asia
4.589999884366989,0.9999999739229679,817.8999981116503,66.7610023599118,2003,Asia
8.019999941810966,1.31000005453825,949.0900211781263,68.81799898855388,2004,Asia
10.079999815672636,1.6100000068545341,983.8299829382449,74.83199963718653,2005,Asia
16.06000025384128,1.9399999640882015,1056.230010556057,79.68400077335536,2006,Asia
21.170000225305557,2.3199999779462814,1100.8100030962378,86.8350005056709,2007,Asia
32.57000054977834,2.810000004246831,1218.7300157472491,90.50499971024692,2008,Asia
50.780000979080796,3.8199999798089266,1205.320008110255,100.70800035074353,2009,Asia
78.03000062704086,5.399999927729368,1344.270009726286,115.6790015399456,2010,Asia
110.42999888770282,9.800000043585896,1361.5899797026068,125.66899753548205,2011,Asia
144.38000362552702,14.769999980926514,1535.5299822222441,132.620001161471,2012,Asia
185.58999471366405,28.97000014781952,1633.2999741565436,146.92699790373445,2013,Asia
212.03999554552138,58.21000077389181,1767.1399424802512,165.3230038397014,2014,Asia
241.79999759979546,91.54999917373061,1834.370015565306,183.11600019223988,2015,Asia
313.90000197663903,140.5899977926165,1909.3700305745006,191.74499980336986,2016,Asia
392.460004478693,218.32000408135355,1956.100064061582,218.87599992728792,2017,Asia
467.4499900843948,310.57999414764345,2010.7900030650198,242.77999831340276,2018,Asia
515.7699888329953,393.18999806791544,2113.550031144172,273.892000769265,2019,Asia
579.949999852106,465.61000583693385,2154.0600066352636,307.43900111783296,2020,Asia
61.49999971874058,168.1299958601594,493.14999908208847,135.79000204242766,2021,Asia
0.7800000123679638,0.010999999823980033,466.527997398749,19.017999928444624,1990,Europe
1.0900000110268593,0.011999999871477485,473.6080008428544,19.75599993020296,1991,Europe
1.550000013783574,0.022999999579042196,489.4309961888939,20.92499979585409,1992,Europe
2.349999986588955,0.02399999974295497,504.0999999605119,22.80100013501942,1993,Europe
3.509999930858612,0.03499999921768904,513.4419996552169,24.079999780282378,1994,Europe
4.079999973997474,0.04599999915808439,518.1019999850541,26.60400004312396,1995,Europe
4.880999961751513,0.046999999321997166,496.05400445871055,26.763999685645103,1996,Europe
